Dia;no_BS;no2_BS;n2o_BS;no_LV;no2_LV;n2o_LV;no_DV;no2_DV;n2o_DV
D8;4.38071;-0.78542;4.373884339;2.474645457;-0.718683315;4.52445104;2.164764239;-0.747049619;6.881046428
D8;3.68771;-0.69634;3.54695252;2.334530812;-0.826833521;4.345357608;2.046074061;-0.730788393;6.415262209
D8;3.47687;-1.00394;2.661600075;2.442915823;-1.278999638;3.742519223;2.103681695;-1.16639698;6.128771161
D9;2.96457;-1.27025;2.029727887;2.076552895;-1.526523974;3.442309537;1.918914197;-1.561617238;6.044268179
D9;2.8499;-1.19561;2.366072823;2.136831159;-1.486085482;3.850075447;1.99184657;-1.483686961;6.415320209
D9;3.22192;-1.11999;2.858071607;1.930962007;-1.297659707;3.132883232;1.740205158;-1.18472619;5.924181191
D9;3.02942;-0.90256;2.493089189;1.89144073;-1.127075294;3.760765194;1.835641625;-1.065170617;6.095235089
D9;3.19226;-0.8302;2.674192197;2.035363642;-0.89539075;3.596894752;1.761997401;-0.758331757;5.756285775
D9;2.94322;-0.62614;2.503659517;1.534493207;-0.665032083;3.268571737;1.507321036;-0.696727665;6.258851886
D9;2.89958;-0.73647;2.677386801;1.540221765;-0.79874614;2.818126079;1.462474649;-0.79255881;5.714834587
D9;3.03848;-0.73521;2.749189766;1.782892306;-0.816634449;3.475902446;1.928625933;-0.837712264;6.694296718
D9;3.89229;-0.35742;3.292454659;2.545485504;-0.860367187;3.372146983;2.870774643;-1.343528296;6.113885068
D9;4.96391;-2.26701;2.752353263;2.309631484;-1.61281365;3.247265208;2.415246938;-1.839581805;5.476851004
D9;4.36578;-3.31558;2.32418613;2.233306789;-3.366063435;3.506898003;1.47996986;-2.139444661;5.7235588
D9;6.07787;-2.62802;3.579692729;4.390148815;-2.927009035;1.78898585;2.059032936;-1.635922948;0.071158064
D9;8.6483;-2.38186;4.635856566;6.997687432;-2.675412611;6.665626915;3.414197793;-1.182841607;7.009628139
D9;8.60394;-2.04983;4.798281704;5.638795903;-1.418753383;5.714367988;4.169393807;-1.003381974;6.795639445
D9;8.44808;-2.0695;4.959579641;4.795546968;-1.344526161;5.417601427;3.590969076;-1.261461975;6.650680869
D9;7.87687;-1.56506;5.143049129;5.016225265;-1.266495779;5.705350526;3.977615179;-0.832435075;6.647122232
D9;6.97476;-1.06199;4.46980075;4.536913384;-0.804539695;5.839528603;3.621708438;-0.638583924;7.224216058
D9;5.28036;-0.80288;3.458962608;2.886753135;-0.623162058;4.411690497;3.429119742;-1.28676674;6.029563067
D9;3.94314;-0.71053;3.21081888;2.740591089;-0.839213228;4.209247579;2.860321918;-1.088618288;6.382007351
D9;3.68304;-1.04803;3.191483242;2.429742371;-0.699034285;4.569484141;2.46761843;-0.897769768;6.244215793
D9;3.3448;-0.84925;3.062877575;2.529849735;-1.142745156;4.028435675;2.423806354;-1.042699576;6.320321271
D9;3.30675;-1.11302;2.905124514;1.970230359;-0.8112385;4.187752025;1.971499513;-0.619628052;5.966129582
D9;2.86605;-1.85664;2.558624562;1.895989854;-1.86632497;3.38878987;1.744458496;-1.835441568;5.808864966
D9;2.77971;-0.96107;2.598436647;2.106236651;-1.324876111;3.452136258;2.133046482;-1.302150712;5.912703897
D10;2.62469;-1.09693;2.359034552;1.845432243;-1.311338752;3.229074776;1.975451578;-1.277036905;5.386150955
D10;2.99213;-0.98301;2.590827246;1.861268635;-0.98808723;3.930288849;1.826120598;-1.03632828;5.6819027
D10;2.98167;-1.4507;2.507559997;1.944224206;-1.521511313;2.914254216;1.808669544;-1.426621644;5.238959405
D10;2.60758;-1.32092;2.398163619;1.847622711;-1.537188884;3.508942344;1.932102644;-1.412359508;5.621115183
D10;2.48042;-0.89874;2.067289338;1.62489534;-0.817147859;3.082801505;1.934349439;-0.962231335;5.492062968
D10;2.83502;-0.91247;2.842522047;1.771833484;-0.96567459;3.536328655;1.870576663;-0.922807876;5.225445297
D10;2.73635;-0.84298;2.514855258;1.782333286;-1.033639554;3.274446308;1.865014873;-0.845567486;5.235091561
D10;3.00206;-0.71034;2.751736202;1.854184924;-0.933581848;2.936092892;2.043973938;-0.867438339;5.058395337
D10;3.04169;-0.59564;2.287441791;2.543845546;-1.097618229;2.896915983;2.713722768;-1.132251853;5.29380686
D10;4.11118;-2.7939;2.657615837;1.925516064;-2.112905158;3.033033327;1.266456014;-1.644770426;5.810733745
D10;5.6055;-3.42527;3.532126128;2.980519007;-2.803521751;3.502263921;1.669378595;-2.099120244;0.229916687
D10;3.93377;-1.42461;2.961028758;3.025591821;-1.27009068;4.376286655;1.856982432;-1.161141212;6.162311616
D10;5.72284;-1.51052;4.277713929;3.852920864;-1.31036486;4.955048285;2.398263467;-1.108765702;6.081388231
D10;5.28376;-0.89465;4.141597137;3.392621037;-0.929965311;5.130733449;3.551643745;-1.038869133;6.48365534
D10;6.85942;-1.38105;4.409571207;3.933601691;-0.840865025;5.092580638;3.536174415;-1.002040615;5.755156831
D10;6.21053;-1.53702;4.289591786;4.067209061;-0.801739918;4.91803887;3.454174887;-0.507933317;6.950744488
D10;4.84542;-1.01693;3.97058989;3.785875952;-1.241501412;4.34784467;3.906173306;-1.148390467;6.840127357
D10;4.46553;-1.03506;2.949503883;2.703836022;-0.936294274;3.937141352;2.736312747;-0.92023477;6.130604482
D10;4.01463;-1.13877;3.491759126;2.587005183;-1.271444041;4.178812763;2.466287277;-1.040157658;6.207925172
D10;3.81339;-1.49017;3.957261835;2.657950644;-1.570868197;4.56605631;2.599702572;-1.396822661;6.091673895
D10;3.19356;-1.19054;3.795750137;2.319087696;-1.304745549;4.696377;2.331411911;-1.227018477;6.060571786
D10;2.75734;-1.66157;3.709498106;1.994388388;-1.79685164;4.07085147;2.160296818;-1.703736674;5.511876555
D10;3.21798;-2.44252;2.387556197;2.08232223;-2.408712354;3.756000893;2.118367181;-2.120008567;5.336476391
D10;2.73293;-2.30204;2.946851264;2.009488116;-2.569139352;3.769805705;2.391972104;-2.565302986;5.550925484
D11;2.63206;-3.85255;1.814767039;2.061997188;-4.255137053;3.178640614;1.812832876;-3.802713507;5.303019911
D11;2.94259;-3.22454;2.754182506;1.92438134;-3.153288708;4.415346946;2.010080912;-2.990991584;6.308369867
